trip_id,delay,timestamp,temperature,precipitation,rain,showers,snowfall
1988867,-54,1784921886,25.5,0.0,0.0,0.0,0.0
1984463,-935,1784921245,25.5,0.0,0.0,0.0,0.0
1985148,0,1784922420,25.5,0.0,0.0,0.0,0.0
1988966,130,1784922250,25.5,0.0,0.0,0.0,0.0
1989089,-178,1784921882,25.5,0.0,0.0,0.0,0.0
1996706,128,1784921913,25.5,0.0,0.0,0.0,0.0
1997266,-18,1784923662,25.5,0.0,0.0,0.0,0.0
1992761,74,1784921917,25.5,0.0,0.0,0.0,0.0
1984441,0,1784924700,25.5,0.0,0.0,0.0,0.0
1996704,-68,1784921840,25.5,0.0,0.0,0.0,0.0
1985213,-172,1784922908,25.5,0.0,0.0,0.0,0.0
1996825,-248,1784921692,25.5,0.0,0.0,0.0,0.0
1985027,-141,1784925099,25.5,0.0,0.0,0.0,0.0
1984464,-50,1784924110,25.5,0.0,0.0,0.0,0.0
1984702,0,1784925060,25.5,0.0,0.0,0.0,0.0
1985312,78,1784921950,25.5,0.0,0.0,0.0,0.0
1996415,273,1784921943,25.5,0.0,0.0,0.0,0.0
1984282,23,1784921886,25.5,0.0,0.0,0.0,0.0
1995869,358,1784922718,25.5,0.0,0.0,0.0,0.0
1996530,355,1784921875,25.5,0.0,0.0,0.0,0.0
1992758,297,1784921937,25.5,0.0,0.0,0.0,0.0
1984920,-126,1784921798,25.5,0.0,0.0,0.0,0.0
1996078,-263,1784923417,25.5,0.0,0.0,0.0,0.0
1988868,0,1784922660,25.5,0.0,0.0,0.0,0.0
1984695,-39,1784921931,25.5,0.0,0.0,0.0,0.0
1984176,-169,1784921855,25.5,0.0,0.0,0.0,0.0
1997037,516,1784921900,25.5,0.0,0.0,0.0,0.0
1996545,-71,1784923069,25.5,0.0,0.0,0.0,0.0
1988787,-53,1784924047,25.5,0.0,0.0,0.0,0.0
1989426,-290,1784921950,25.5,0.0,0.0,0.0,0.0
1996346,-97,1784921603,25.5,0.0,0.0,0.0,0.0
1989027,-496,1784921444,25.5,0.0,0.0,0.0,0.0
1989030,0,1784924100,25.5,0.0,0.0,0.0,0.0
1996516,993,1784923533,25.5,0.0,0.0,0.0,0.0
1997041,0,1784924280,25.5,0.0,0.0,0.0,0.0
1995931,0,1784924040,25.5,0.0,0.0,0.0,0.0
1992697,0,1784925180,25.5,0.0,0.0,0.0,0.0
1995572,184,1784921926,25.5,0.0,0.0,0.0,0.0
1996241,217,1784923057,25.5,0.0,0.0,0.0,0.0
1984865,-58,1784921878,25.5,0.0,0.0,0.0,0.0
1989260,-81,1784921902,25.5,0.0,0.0,0.0,0.0
1984816,0,1784923620,25.5,0.0,0.0,0.0,0.0
