parent_station,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,preferred,stop_url,stop_id,stop_desc,stop_name,location_type,platform_code,zone_id
,43.842615,1,1178,-79.392012,,1,,1178,,VALLEYMEDE DR / HIGHWAY 7,0,,1
,43.888772,1,5537,-79.268525,,1,,5537,,RAYMERVILLE DR / QUARRY STONE DR,0,,1
,43.888084,2,5536,-79.271529,,1,,5536,,RAYMERVILLE DR / TAILOR ST,0,,1
,43.885715,1,5539,-79.266431,,1,,5539,,RAYMERVILLE DR / SANDERLING DR,0,,1
,43.887351,1,5538,-79.266779,,1,,5538,,RAYMERVILLE DR / COBBLER CRES,0,,1
,43.868159,2,1610,-79.343789,,1,,1610,,HOLLINGHAM RD / GLAMORGAN CRT,0,,1
,43.886931,1,1285,-79.229499,,1,,1285,,BUR OAK AV / RIVERLANDS AV,0,,1
,43.837828,1,1284,-79.285608,,1,,1284,,DENISON ST STOP # 1284,0,,1
,43.888092,1,1287,-79.229819,,1,,1287,,BUR OAK AV / THE MEADOWS AV,0,,1
,43.837138,1,1286,-79.287737,,1,,1286,,DENISON ST / CARTMEL DR,0,,1
,43.84789,1,1281,-79.458275,,1,,1281,,CARRVILLE RD / BATHURST ST,0,,1
,43.84104,1,1280,-79.280656,,1,,1280,,DENISON ST / TOWNLEY AV,0,,1
,43.84546,1,1283,-79.469857,,1,,1283,,RUTHERFORD RD / THOMAS COOK AV,0,,1
,43.839334,1,1282,-79.28352,,1,,1282,,DENISON ST / HILLCROFT DR,0,,1
,43.835902,1,1289,-79.293133,,1,,1289,,DENISON ST / EDEN AV,0,,1
,43.836778,1,1288,-79.289443,,1,,1288,,DENISON ST / BRIMLEY RD,0,,1
,43.76184,1,7188,-79.465573,,1,,7188,,DUFFERIN ST STOP # 7188,0,,1
,43.76088,1,7189,-79.464971,,1,,7189,,DUFFERIN ST / OVERBROOK PL,0,,1
,43.857921,2,1579,-79.23722,,1,,1579,,BOXWOOD CRES / SPARTA CRT,0,,1
,43.871832,1,1578,-79.35487,,1,,1578,,RODICK RD / HANS DR,0,,1
,43.865741,2,1573,-79.24047,,1,,1573,,RUSSELL JARVIS DR / BLACK WALNUT DR,0,,1
